#Vehicle Trip Report,,,,,,,,,,,,,,
#Report For :07/05/2023 22:29:40 - 14/05/2023 22:29:48,,,,,,,,,,,,,,
Vehicle,Trip-No,Vehicle-Category,Trip-Start-Location,Trip-Start-In-Time,Trip-Start-Out-Time,Trip-End-Location,Trip-End-In-Time,Trip-End-Out-Time,Distance,Time-Duration,Running-Time,Dest-Detention-Time,Halt-Hours,Route-Traveled
DL1 LAD 6259,43,46,DC46,14/05/2023 09:06 PM,14/05/2023 09:15 PM,DC46,14/05/2023 09:16 PM,15/05/2023 07:16 AM,0.2,00hr 0min,00hr 0min,09hr 59min,00hr 0min,Route Link
DL1 LAF 4401,1,46,DC46,8/5/2023 9:02,8/5/2023 11:35,DC46,8/5/2023 11:36,8/5/2023 11:55,0.19,00hr 0min,00hr 0min,00hr 18min,00hr 0min,Route Link
DL1 LAF 4401,2,46,DC46,8/5/2023 11:36,8/5/2023 11:55,DC46,8/5/2023 15:30,8/5/2023 17:23,42.24,03hr 35min,01hr 32min,01hr 53min,02hr 2min,Route Link
DL1 LAF 4401,3,46,DC46,8/5/2023 15:30,8/5/2023 17:23,DC46,9/5/2023 8:29,9/5/2023 10:17,91.32,15hr 5min,03hr 13min,01hr 48min,11hr 52min,Route Link
DL1 LAF 4401,4,46,DC46,9/5/2023 8:29,9/5/2023 10:17,DC46,9/5/2023 15:12,9/5/2023 15:58,28.62,04hr 55min,01hr 35min,00hr 45min,03hr 20min,Route Link
DL1 LAF 4401,5,46,DC46,9/5/2023 15:12,9/5/2023 15:58,DC46,10/5/2023 8:45,10/5/2023 8:46,87.23,16hr 47min,03hr 12min,00hr 0min,13hr 34min,Route Link
DL1 LAF 4401,6,46,DC46,10/5/2023 8:46,10/5/2023 10:37,DC52,10/5/2023 13:20,10/5/2023 13:21,15.45,02hr 43min,00hr 48min,00hr 1min,01hr 54min,Route Link
DL1 LAF 4401,7,46,DC52,10/5/2023 13:20,10/5/2023 13:21,DC46,10/5/2023 14:49,10/5/2023 16:28,16.28,01hr 28min,00hr 38min,01hr 39min,00hr 50min,Route Link
DL1 LAF 4401,8,46,DC46,10/5/2023 14:49,10/5/2023 16:28,DC46,10/5/2023 20:37,10/5/2023 20:47,33.11,04hr 8min,01hr 40min,00hr 10min,02hr 27min,Route Link
DL1 LAF 4401,9,46,DC46,10/5/2023 20:37,10/5/2023 20:47,DC46,11/5/2023 8:47,11/5/2023 10:32,32.07,11hr 59min,00hr 59min,01hr 45min,11hr 0min,Route Link
DL1 LAF 4401,10,46,DC46,11/5/2023 8:47,11/5/2023 10:32,DC46,11/5/2023 16:11,11/5/2023 17:08,36.66,05hr 38min,01hr 51min,00hr 56min,03hr 47min,Route Link
DL1 LAF 4401,11,46,DC46,11/5/2023 16:11,11/5/2023 17:08,DC46,11/5/2023 18:54,11/5/2023 18:55,12.94,01hr 46min,00hr 42min,00hr 0min,01hr 4min,Route Link
DL1 LAF 4401,12,46,DC46,11/5/2023 18:54,11/5/2023 18:55,DC52,11/5/2023 19:08,11/5/2023 19:15,6.26,00hr 13min,00hr 12min,00hr 7min,00hr 1min,Route Link
DL1 LAF 4401,13,46,DC52,11/5/2023 19:08,11/5/2023 19:15,DC46,12/5/2023 10:46,12/5/2023 11:00,25.92,15hr 30min,00hr 51min,00hr 14min,14hr 38min,Route Link
DL1 LAF 4401,14,46,DC46,12/5/2023 10:46,12/5/2023 11:00,DC52,12/5/2023 11:43,12/5/2023 11:44,9.36,00hr 42min,00hr 25min,00hr 0min,00hr 17min,Route Link
DL1 LAF 4401,15,46,DC52,12/5/2023 11:43,12/5/2023 11:44,DC46,12/5/2023 16:27,12/5/2023 17:03,21.52,04hr 43min,01hr 7min,00hr 35min,03hr 35min,Route Link
DL1 LAF 4401,16,46,DC46,12/5/2023 16:27,12/5/2023 17:03,DC52,12/5/2023 17:21,12/5/2023 17:22,6.32,00hr 18min,00hr 12min,00hr 1min,00hr 6min,Route Link
DL1 LAF 4401,17,46,DC52,12/5/2023 17:21,12/5/2023 17:22,DC52,13/05/2023 08:32 AM,13/05/2023 08:33 AM,82.79,15hr 10min,02hr 47min,00hr 0min,12hr 22min,Route Link
DL1 LAF 4401,18,46,DC52,13/05/2023 08:32 AM,13/05/2023 08:33 AM,DC46,13/05/2023 08:42 AM,13/05/2023 11:40 AM,4.96,00hr 9min,00hr 8min,02hr 57min,00hr 1min,Route Link
DL1 LAF 4401,19,46,DC46,13/05/2023 08:42 AM,13/05/2023 11:40 AM,DC52,13/05/2023 01:18 PM,13/05/2023 01:19 PM,12.2,01hr 38min,00hr 38min,00hr 0min,00hr 59min,Route Link
DL1 LAF 4401,20,46,DC52,13/05/2023 01:18 PM,13/05/2023 01:19 PM,DC46,13/05/2023 02:39 PM,13/05/2023 03:43 PM,12.71,01hr 19min,00hr 35min,01hr 4min,00hr 44min,Route Link
DL1 LAF 4401,21,46,DC46,13/05/2023 03:44 PM,13/05/2023 05:00 PM,DC52,13/05/2023 05:23 PM,13/05/2023 05:24 PM,6.45,00hr 23min,00hr 13min,00hr 1min,00hr 10min,Route Link
DL1 LAF 4401,22,46,DC52,13/05/2023 05:23 PM,13/05/2023 05:24 PM,DC52,14/05/2023 08:48 AM,14/05/2023 08:48 AM,66.11,15hr 23min,02hr 13min,00hr 0min,13hr 10min,Route Link
DL1 LAF 4401,23,46,DC52,14/05/2023 08:48 AM,14/05/2023 08:48 AM,DC46,14/05/2023 08:56 AM,14/05/2023 08:56 AM,4.71,00hr 7min,00hr 7min,00hr 0min,00hr 0min,Route Link
